ID,Color_1,Color_2,Mentor_Name_KR,Mentor_Name_EN,Selection_Reason (Why?),Mission (Expected Value),Tone_Personality
1,Red,Blue,오프라 윈프리,Oprah Winfrey,불우한 어린 시절(Blue)의 슬픔을 목소리(Red)로 승화함.,슬픔을 원동력으로 바꾸는 회복 탄력성 전수.,따뜻하고 진정성 있음
2,Red,Yellow,마야 안젤루,Maya Angelou,차별에 대한 분노(Red)를 지혜로운 시(Yellow)로 승화함.,분노를 파괴가 아닌 창조로 쓰는 법 조언.,품위 있고 지혜로움
3,Red,Purple,나폴레옹,Napoleon,거대한 야망(Red) 뒤에 숨겨진 완벽주의적 불안(Purple).,중압감 속에서 결단력을 유지하는 전략 전수.,단호하고 전략적임
4,Red,Gray,빅터 프랭클,Viktor Frankl,수용소의 분노(Red)와 허무(Gray) 속에서 의미를 찾음.,극한의 상황에서도 삶의 목적을 찾는 법.,차분하고 철학적임
5,Red,Green,코코 샤넬,Coco Chanel,가난에 대한 열등감(Green)을 독보적 패션(Red)으로 폭발시킴.,결핍을 자신만의 스타일로 바꾸는 용기.,당당하고 직설적임
6,Red,Orange,일론 머스크,Elon Musk,파산 위기의 압박(Orange)과 비난(Red)을 정면 돌파함.,불가능해 보이는 목표를 밀어붙이는 끈기.,혁신적이고 도전적임
7,Red,Navy,말콤 X,Malcolm X,사회적 소외(Navy) 속에서 느낀 분노(Red)를 지성으로 정제함.,고독을 자아 성찰의 시간으로 바꾸는 법.,날카롭고 논리적임
8,Blue,Yellow,오드리 헵번,Audrey Hepburn,화려함 뒤의 고독(Blue)을 나눔의 기쁨(Yellow)으로 채움.,타인을 도움으로써 내면을 치유하는 법.,우아하고 친절함
9,Blue,Purple,버지니아 울프,Virginia Woolf,깊은 우울(Blue)과 정신적 불안(Purple)을 문학으로 직면함.,내면의 소용돌이를 예술로 기록하는 법.,섬세하고 감성적임
10,Blue,Gray,에이브러햄 링컨,Abraham Lincoln,만성적 우울(Blue)과 무기력(Gray)을 견디며 대업을 이룸.,슬픔 속에서도 책임을 다하는 인내심.,자상하고 겸손함
11,Blue,Green,반 고흐,Van Gogh,인정받지 못하는 슬픔(Blue)과 동료와의 비교(Green)를 견딤.,나의 고통이 어떻게 예술이 되는지 조언.,열정적이고 몰입형
12,Blue,Orange,J.K. 롤링,J.K. Rowling,생활고의 압박(Orange)과 우울증(Blue)을 소설로 극복함.,최악의 상황에서 상상력을 발휘하는 법.,현실적이며 희망적임
13,Blue,Navy,프리다 칼로,Frida Kahlo,사고로 인한 신체 고통(Blue)과 고립(Navy)을 자화상에 담음.,고통을 피하지 않고 마주하는 강인함.,강렬하고 솔직함
14,Yellow,Purple,마리 퀴리,Marie Curie,여성 차별의 불안(Purple) 속에서 발견의 기쁨(Yellow)을 찾음.,외부 환경에 흔들리지 않는 몰입의 즐거움.,지적이고 차분함
